Word	Match	Lexicality	Old20	Old20_Diff	Ned1	Ned1_Diff	Overlap_Ratio	Maxdeviation	Summed_Deviation	Maxdeviation_Transition
zachód	tadwód	N	2.85	0.95	0	0	2/3	-467	545	_[ta]dwód_
zachód	cagród	N	2.25	0.35	2	2	2/3	-799	974	_[ca]gród_
zachód	capłód	N	2.8	0.9	0	0	2/3	-799	979	_[ca]płód_
zachód	caśród	N	2.6	0.7	0	0	2/3	-799	976	_[ca]śród_
zachód	caspód	N	2.8	0.9	0	0	2/3	-799	980	_[ca]spód_
zachód	cabwód	N	2.85	0.95	0	0	2/3	-799	980	_[ca]bwód_
zachód	cagłód	N	2.6	0.7	0	0	2/3	-799	980	_[ca]głód_
zachód	cadwód	N	2.85	0.95	0	0	2/3	-799	980	_[ca]dwód_
rozmiar	rozcior	N	2.4	0.6	0	-2	2/3	-7	16	_ro[zc]ior_
rozmiar	romziar	N	2.75	0.95	0	-2	2/3	-23	51	_rom[zia]r_
rozmiar	rommior	N	2.95	1.15	0	-2	2/3	-27	63	_rom[mio]r_
rozmiar	roznior	N	2.4	0.6	0	-2	2/3	23	39	_roz[nio]r_
rozmiar	rozsior	N	2.5	0.7	0	-2	2/3	-31	36	_roz[sio]r_
rozmiar	romsiar	N	2.7	0.9	0	-2	2/3	37	65	_rom[sia]r_
rozmiar	rommiur	N	2.9	1.1	0	-2	2/3	-57	111	_rom[miu]r_
rozmiar	romgiar	N	2.8	1.0	0	-2	2/3	-48	73	_rom[gia]r_
rozmiar	romtiar	N	2.85	1.05	0	-2	2/3	-44	60	_rom[tia]r_
rozmiar	romfiar	N	2.8	1.0	0	-2	2/3	-41	69	_rom[fia]r_
rozmiar	rodbiar	N	2.7	0.9	0	-2	2/3	-50	90	_r[od]biar_
rozmiar	rodsiar	N	2.65	0.85	0	-2	2/3	-50	94	_r[od]siar_
rozmiar	roddiar	N	2.85	1.05	0	-2	2/3	-50	101	_r[od]diar_
rozmiar	rodmior	N	2.9	1.1	0	-2	2/3	-50	81	_r[od]mior_
rozmiar	rodmiur	N	2.95	1.15	0	-2	2/3	-57	129	_rod[miu]r_
rozmiar	rodgiar	N	2.8	1.0	0	-2	2/3	-50	112	_r[od]giar_
rozmiar	rodtiar	N	2.85	1.05	0	-2	2/3	-50	106	_r[od]tiar_
rozmiar	rodkiar	N	2.85	1.05	0	-2	2/3	-54	113	_rod[kia]r_
rozmiar	rozbior	N	1.75	-0.05	5	3	2/3	-41	51	_roz[bio]r_
rozmiar	rozbiur	N	1.95	0.15	1	-1	2/3	-56	84	_roz[biu]r_
pogląd	pogrid	N	2.0	0.3	0	-4	2/3	-6	12	_po[gri]d_
pogląd	pogrod	N	1.9	0.2	2	-2	2/3	-15	26	_pogr[od]_
pogląd	poślod	N	1.95	0.25	1	-3	2/3	-15	22	_pośl[od]_
pogląd	poplod	N	1.9	0.2	2	-2	2/3	-15	32	_popl[od]_
pogląd	podlod	N	1.95	0.25	1	-3	2/3	-15	17	_podl[od]_
pogląd	poklod	N	2.0	0.3	0	-4	2/3	-15	23	_pokl[od]_
pogląd	podlęd	N	1.95	0.25	1	-3	2/3	-17	22	_podl[ęd]_
pogląd	podlud	N	2.0	0.3	0	-4	2/3	-20	27	_podl[ud]_
pogląd	pożkod	N	2.4	0.7	0	-4	2/3	25	49	_po[żko]d_
pogląd	pożkęd	N	2.8	1.1	0	-4	2/3	-17	33	_pożk[ęd]_
pogląd	pożkid	N	2.7	1.0	0	-4	2/3	27	37	_po[żki]d_
pogląd	pożkud	N	2.3	0.6	0	-4	2/3	-20	30	_pożk[ud]_
pogląd	pogrud	N	1.95	0.25	1	-3	2/3	-20	27	_pogr[ud]_
pogląd	pogręd	N	2.0	0.3	0	-4	2/3	-17	30	_pogr[ęd]_
pogląd	pogred	N	2.0	0.3	0	-4	2/3	-19	31	_pogr[ed]_
pogląd	poślęd	N	2.05	0.35	2	-2	2/3	-17	21	_pośl[ęd]_
pogląd	poślud	N	1.9	0.2	2	-2	2/3	-20	29	_pośl[ud]_
pogląd	potwid	N	2.0	0.3	0	-4	2/3	-19	36	_po[tw]id_
pogląd	potwud	N	2.45	0.75	0	-4	2/3	-20	48	_potw[ud]_
pogląd	potwed	N	2.4	0.7	0	-4	2/3	-19	42	_po[tw]ed_
student	szułent	N	2.9	0.9	0	-2	2/3	49	97	_szu[łe]nt_
student	szudynt	N	2.9	0.9	0	-2	2/3	-61	144	_szu[dy]nt_
student	spułent	N	2.9	0.9	0	-2	2/3	-105	212	[_sp]ułent_
student	spujent	N	2.85	0.85	0	-2	2/3	-120	322	_spu[j]ent_
student	spudynt	N	2.95	0.95	0	-2	2/3	-105	259	[_sp]udynt_
student	spudont	N	2.95	0.95	0	-2	2/3	-105	275	[_sp]udont_
student	spudekt	N	2.85	0.85	0	-2	2/3	-105	283	[_sp]udekt_
student	spudest	N	2.85	0.85	0	-2	2/3	-105	278	[_sp]udest_
student	spudert	N	2.7	0.7	0	-2	2/3	-105	276	[_sp]udert_
student	krujent	N	2.9	0.9	0	-2	2/3	-120	282	_kru[j]ent_
student	krudynt	N	2.95	0.95	0	-2	2/3	-106	219	[_kr]udynt_
student	krudont	N	3.0	1.0	0	-2	2/3	-106	235	[_kr]udont_
student	krudekt	N	2.8	0.8	0	-2	2/3	-106	243	[_kr]udekt_
student	krudest	N	2.95	0.95	0	-2	2/3	-106	238	[_kr]udest_
student	krudert	N	2.7	0.7	0	-2	2/3	-106	236	[_kr]udert_
student	krułent	N	3.0	1.0	0	-2	2/3	-106	172	[_kr]ułent_
student	trujent	N	2.75	0.75	0	-2	2/3	-120	266	_tru[j]ent_
student	trudynt	N	2.65	0.65	0	-2	2/3	69	203	_[tru]dynt_
student	trudont	N	2.55	0.55	0	-2	2/3	-84	219	_tru[do]nt_
student	trudekt	N	2.7	0.7	0	-2	2/3	-101	227	_trude[kt_]
czwartek	wzrarnek	N	2.95	1.25	0	-4	2/3	107	220	_wzra[rn]ek_
czwartek	wzrarcek	N	3.0	1.3	0	-4	2/3	-90	125	_wzra[rc]ek_
czwartek	zgnarnek	N	2.9	1.2	0	-4	2/3	107	261	_zgna[rn]ek_
czwartek	zgnarcek	N	3.0	1.3	0	-4	2/3	-90	166	_zgna[rc]ek_
czwartek	wszarnek	N	2.75	1.05	0	-4	2/3	107	277	_wsza[rn]ek_
czwartek	wszarcek	N	2.8	1.1	0	-4	2/3	-90	182	_wsza[rc]ek_
czwartek	szwarnek	N	2.35	0.65	0	-4	2/3	107	322	_szwa[rn]ek_
czwartek	szwarcek	N	2.15	0.45	2	-2	2/3	-90	227	_szwa[rc]ek_
czwartek	chwarnek	N	2.95	1.25	0	-4	2/3	122	349	[_chw]arnek_
czwartek	chwarcek	N	2.9	1.2	0	-4	2/3	122	254	[_chw]arcek_
czwartek	wzmarnek	N	2.9	1.2	0	-4	2/3	107	210	_wzma[rn]ek_
